text,likes,retweets,sad,depression
"I'm tired of people not using words properly.

Men are not 'women'

Women are not 'men'

Words are not 'violence'

Disagreement is not an 'attack'

Sadness is not 'depression'

Discomfort is not 'trauma'

Stop pathologising everything.",23005,4392,0,1
"What’s sad for me is that Ukraine, climate disaster, voting rights, women’s rights, poverty, discrimination- all will take a back seat in our national conscience and dialogue to a man who felt assault was the proper response to insensitive words.",43939,3450,0,0
Mid-level Biden staffer runs out of his own press briefing without answering a single question. SAD! https://t.co/nVe4orzXOa,4401,1378,0,0
"Trump's hole in one is so obviously a lie. A hole in one is so rare that anyone in the game would be beating down the media to say ""I was there and it was awesome!"" But no one will corroborate this because no one wants to lie. Trump is a sad, damaged, small man.",0,0,0,0
@imHawkeyeFN Sad to know this statement was false :(,0,0,0,0
"@jim_m0ney @DeltFish @bomani_jones Sad, ain't it? those guys get ratings tho",0,0,0,0
Sorry you signed up for CBS..they now have hired Mulvany..very sad https://t.co/zBcI1X061O,0,0,0,0
@lapatina_ Ukrainian were lie a lot!!! And never did what agreement sad! This is second person after President! https://t.co/e9wdHZfUOg,0,0,0,0
"Ronaldo &gt; Messi. 

I always used to be a Messi guy but what Ronaldos doing at 37 is fire man

Messi be struggling with a superteam in the weakest european league. Its sad",0,0,0,0
@JCDogoodLetters Sorry that makes you sad 🤣🤣,0,0,0,0
"@ArishAspace I can cure Diabetes in less than two weeks,drugs or pills remedies will only reduce the level of sugar in ur blood,my Herbal mixture will cure it and u will be able to eat any kind of food u want,I'm always sad,if I hear someone die of Diabetes,while I can cure it,DM 4 more info.",0,0,0,0
"LMAO looking at my old Carrd is so funny it’s so sad. I be like “here’s what I watched!” And its fucking 3 shows. Gurl why’d u make an anime Twitter when you only seen fucking Mha, aot, and half of haikyuu 🤨",0,0,0,0
I regret to inform you that today was a “cry in my car to sad music” day,0,0,0,0
Imagine being pressed because someone said it’s sad that old people have to work.,0,0,0,0
"When I overthink , I think myself into a sad/mad mood .",0,0,0,0
@dioenthusiast this is actually sad https://t.co/PtgQLpS0Hc,4,1,0,0
@glenkingfisher That's such a sad scene and a criminal act,0,0,0,0
@softballfreakz @FARTYNINERS @demario__davis Alpaca is not life threatening. Women depression is 😭 not our problem but yours,0,0,0,1
@NeimadsAttic Least it was good entertainment and making us realize how sad the state of things are 🤷‍♂️,1,0,0,0
